,link,title,text,text_lemmas,NER
0,https://www.mk.ru/politics/2024/06/09/uchastniki-shestviya-armyanskoy-oppozicii-razdelilis-na-dve-gruppy.html,Участники шествия армянской оппозиции разделились на две группы,"Марш сторонников оппозиционного движения ""Тавуш во имя родины"", инициированный архиепископом Багратом Галстаняном, был разделен на две группы по его решению. Одна часть осталась у здания парламента, где движение было заблокировано полицией, в то время как вторая группа, с Галстаняном во главе, направилась к правительственным дачам, обойдя блокировку. Местные новостные порталы осуществляют прямую трансляцию событий. ""Поскольку полиция не пускает нас по этому маршруту, мы приняли решение: часть людей останется здесь с Гарником Даниеляном (одним из лидеров движения), а мы пойдем по улице Сарьяна к Прошяну (где находятся правительственные дачи). Если не пропускают здесь, пройдем с другой стороны,"" — заявил архиепископ Баграт. В воскресенье оппозиционное собрание собрало несколько десятков тысяч участников. По окончании митинга оппозиционеры отправились к зданию парламента, но их путь был заблокирован полицией. Акции протеста, возглавляемые архиепископом Багратом Галстаняном, управляющим Тавушской епархией Армянской апостольской церкви, начались после объявления о соглашении между Баку и Ереваном о границе в районе Тавушской области. Согласно соглашению, Ереван согласился передать четыре села, которые ранее находились в составе Азербайджанской ССР и находились под контролем Армении с 1990-х годов. Движение ""Тавуш во имя родины"" требует отставки премьер-министра Армении Никола Пашиняна, обвиняя его в односторонней передаче территории Азербайджану.",марш сторонник оппозиционный движение тавуш имя родина инициировать архиепископ баграт галстаняном разделить два группа решение одна часть остаться здание парламент движение заблокировать полиция время второй группа галстаняном глава направиться правительственный дача обойти блокировка местный новостной портал осуществлять прямой трансляция событие поскольку полиция пускать этот маршрут принять решение часть человек остаться гарник даниеляном одним лидер движение пойти улица сарьян прошяну находиться правительственный дача если пропускать пройти сторона заявить архиепископ баграт в воскресение оппозиционный собрание собрать несколько десяток тысяча участник по окончание митинг оппозиционер отправиться здание парламент путь заблокировать полиция акция протест возглавлять архиепископ баграт галстаняном управлять тавушской епархия армянский апостольский церковь начаться объявление соглашении баку ереван граница район тавушской область Согласно соглашение ереван согласиться передать четыре село которые ранее находиться составе азербайджанский сср находиться контроль армения 1990-й год движение тавуш имя родина требовать отставка премьер - министр армения никола пашиняна обвинять односторонний передача территория азербайджан,"[('прошяну', 'LOC'), ('баку', 'LOC'), ('ереван', 'LOC'), ('тавушской область', 'LOC'), ('ереван', 'LOC'), ('азербайджанский сср', 'LOC'), ('армения', 'LOC'), ('армения', 'LOC'), ('никола пашиняна', 'PER'), ('азербайджан', 'LOC')]"
1,https://www.mk.ru/politics/2024/06/09/boycy-akhmata-osvobodili-ryzhevku-na-granice-s-kurskoy-oblastyu.html,Бойцы «Ахмата» освободили Рыжевку на границе с Курской областью,"Бойцы из полка «Ахмат-Чечня» освободили от противника село Рыжевка на Украине, расположенное на границе с Курской областью. Как сообщил в своем telegram-канале глава Чечни Рамзан Кадыров, ВСУ в ходе сдачи села понесли значительные потери. Рамзан Кадыров поблагодарил бойцов за успешное проведение штурма. «Убежден, такой же финал ожидает и другие территории, которые временно находятся под гнетом укрофашистских и натовских формирований», -написал глава Чечни.",боец полок ахмат - чечня освободить противник село рыжевка украина расположенное граница курский область как сообщить свой telegram - канал глава чечня рамзан кадыров всу ход сдача село понести значительный потеря рамзан кадыров поблагодарить боец успешный проведение штурм убежден финал ожидать другие территория которые временно находиться гнёт укрофашистских натовский формирование глава чечня,"[('ахмат - чечня', 'LOC'), ('рыжевка', 'LOC'), ('украина', 'LOC'), ('курский область', 'LOC'), ('telegram - канал', 'ORG'), ('чечня', 'LOC'), ('рамзан кадыров', 'PER'), ('всу', 'ORG'), ('рамзан кадыров', 'PER'), ('чечня', 'LOC')]"
2,https://www.mk.ru/politics/2024/06/09/v-sumakh-otklyuchili-svet.html,В Сумах отключили свет,"В Сумах и Сумской области Украины частично пропало электричество, как сообщает издание ""Страна"", ссылаясь на местные источники информации. Сообщается, что в городе и области произошел отключение электроснабжения, причины которого пока не разглашаются. Ранее в воскресенье в Сумской области была объявлена воздушная тревога. С начала октября 2022 года российские военные начали атаковать украинскую инфраструктуру, включая объекты энергетики, оборонной промышленности, военное управление и связь по всей стране. ",в сумах сумской область украина частично пропасть электричество сообщать издание страна ссылаться местный источник информация сообщаться город область произойти отключение электроснабжение причина которого пока разглашаться ранее воскресение сумской область объявить воздушный тревога с начало октябрь 2022 год российский военный начать атаковать украинскую инфраструктура включая объект энергетика оборонный промышленность военный управление связь весь страна,"[('сумской область', 'LOC'), ('украина', 'LOC'), ('сумской область', 'LOC')]"
3,https://www.mk.ru/politics/2024/06/09/protestuyushhie-v-armenii-doshli-do-zdaniya-parlamenta.html,Протестующие в Армении дошли до здания парламента,"В Ереване проходит акция протеста, участники которой требуют отставки премьер-министра Армении Никола Пашиняна. Протестующие находятся уже у здания Национального собрания (парламента). Как сообщает корреспондент РИА Новости с места событий, участникам протестной акции противостоят правоохранители. В рамках требования отставки Пашиняна протестующие настаивают на прекращении процесса делимитации границы с Азербайджаном и передачи Баку приграничных территорий. По данным армянских СМИ, в шествии участвуют несколько тысяч человек. Само здание Национального парламента плотно оцеплено полицией. Переговоры с силовиками ведет представляющий оппозицию архиепископ Баграт Галстанян.",в ереван проходить акция протест участник которой требовать отставка премьер - министр армения никола пашиняна протестовать находиться здание национальный собрание парламент как сообщать корреспондент риа новость место событие участник протестный акция противостоять правоохранитель в рамка требование отставка пашиняна протестовать настаивать прекращении процесс делимитация граница азербайджан передача баку приграничный территория по данным армянский сми шествие участвовать несколько тысяча человек само здание национальный парламент плотно оцепить полиция переговоры силовик вести представлять оппозиция архиепископ баграт галстанян,"[('ереван', 'LOC'), ('армения', 'LOC'), ('никола пашиняна', 'PER'), ('риа', 'ORG'), ('пашиняна', 'PER'), ('азербайджан', 'LOC'), ('баку', 'LOC'), ('сми', 'ORG'), ('баграт галстанян', 'PER')]"
4,https://www.mk.ru/politics/2024/06/09/na-ukraine-planiruyut-nachat-ispytaniya-sobstvennykh-korrektiruemykh-aviabomb.html,На Украине планируют начать испытания собственных корректируемых авиабомб,"Украина через несколько недель собирается начать испытания корректируемых авиационных бомб (КАБ) собственного производства. Об этом сообщил начальник авиации командования ВВС Украины Сергей Голубцов. ""Через несколько недель мы должны начать первые испытания первых партий таких бомб, уже украинских"", — заявил Голубцов. Он уточнил, что на данный момент украинская авиация использует только западные КАБ. Голубцов также добавил, что на данный момент сейчас идут работы по переоборудованию и созданию своих КАБов на базе обычных.",украина несколько неделя собираться начать испытание корректируемых авиационный бомба каб собственный производство об сообщить начальник авиация командование ввс украина сергей голубцов через несколько неделя должный начать первый испытание первый партия такой бомба украинских заявить голубцов он уточнить данный момент украинская авиация использовать западный каб голубцов также добавить данный момент идти работа переоборудование создание свой кабов база обычный,"[('украина', 'LOC'), ('ввс', 'ORG'), ('украина', 'LOC'), ('сергей голубцов', 'PER')]"
5,https://www.mk.ru/politics/2024/06/09/smi-vyyasnili-chto-vsu-nanesli-udar-po-rossii-s-pomoshhyu-samoletov.html,"СМИ выяснили, что ВСУ нанесли удар по России с помощью самолетов","Самолет украинской армии впервые применил оружие по целям на территории России, за пределами Крыма, ДНР, ЛНР, Запорожской и Херсонской областей — в Белгороде. Об этом сообщает британский телеканал Sky News, ссылаясь на украинского военного источника. В публикации не уточняется, с какого расстояния производился пуск ракеты. ""Это первый боеприпас ВВС Украины, доставленный по воздуху против цели внутри России"", — говорится в публикации. Кроме того, нет информации о том, какой боеприпас использовался украинской авиации, а также о том, был ли это снаряд, который поставили западные страны. Напомним, что ранее США дали разрешение ВСУ бить по целям на территории России, но только по регионам, которые граничат с Харьковской областью.",самолёт украинской армия впервые применить оружие цель территория россия предел крым днр лнр запорожский херсонский область белгороде об сообщать британский телеканал sky news ссылаться украинского военный источник в публикация уточняться какой расстояние производиться пуск ракета это первый боеприпас ввс украина доставленный воздуху против цель внутри россия говориться публикация кроме информация боеприпас использоваться украинской авиация также это снаряд который поставить западный страна напомним ранее сша дать разрешение всу бить цель территория россия регион которые граничить харьковский область,"[('россия', 'LOC'), ('крым', 'LOC'), ('днр', 'LOC'), ('лнр', 'LOC'), ('херсонский область', 'LOC'), ('sky news', 'ORG'), ('ввс', 'ORG'), ('украина', 'LOC'), ('россия', 'LOC'), ('сша', 'LOC'), ('всу', 'ORG'), ('россия', 'LOC'), ('харьковский область', 'LOC')]"
6,https://www.mk.ru/politics/2024/06/09/vo-francii-raspustili-nacionalnoe-sobranie.html,Во Франции распустили Национальное собрание,"Президент Франции Эммануэль Макрон объявил о том, что подпишет указ о роспуске Национального собрания (нижней палаты французского парламента), а также о проведении досрочных выборов. Об этом он сообщил во время своего обращения к гражданам из Елисейского дворца. ""Проведя консультации, предусмотренные статьей 12 нашей Конституции, я решил вновь путем голосования предоставить вам выбор нашего парламентского будущего"", — заявил французский президент. Он уточнил, что в ближайшее время будет подписан указ о проведении выборов: первый тур пройдет 30 июня, второй тур — 7 июля. Предположительно, такое решение было принято в связи с тем, что партия Макрона потерпела поражение на выборах в Европарламент. Первое место заняла партия ""Национальное объединение Марин Ле Пен с результатом — 33%, партия Макрона ""Возрождение"" — 15%. ",президент франция эммануэль макрон объявить подписать указ роспуск национальный собрание нижний палата французский парламент также проведение досрочный выбор об сообщить время свой обращение гражданин елисейский дворец проведя консультация предусмотреть статья 12 наш конституция решить вновь путем голосование предоставить выбор наш парламентский будущее заявить французский президент он уточнить близкий время подписать указ проведении выбор первый тур пройти 30 июнь второй тур 7 июль Предположительно такой решение принять связь партия макрон потерпеть поражение выбор европарламент первый место занять партия национальный объединение марин ле пен результат 33 партия макрон возрождение 15,"[('франция', 'LOC'), ('эммануэль макрон', 'PER'), ('макрон', 'PER'), ('европарламент', 'ORG'), ('марин ле пен', 'PER'), ('макрон', 'PER')]"
7,https://www.mk.ru/politics/2024/06/09/v-izraile-soobshhili-chto-namereny-dobitsya-polnoy-pobedy-nad-khamas.html,"В Израиле сообщили, что намерены добиться полной победы над ХАМАС","Израиль добивается полной победы над радикальным палестинским движением ХАМАС и не собирается прекращать боевые действия, пока не вернет всех заложников, которые боевики удерживают в секторе Газа. Такое заявление сделал премьер-министр еврейского государства Биньямин Нетаньяху, слова которого передает его канцелярия. ""Мы стремимся к полной победе. Мы не хотим и не можем покинуть поле боя. Мы обязаны вернуть похищенных [радикалами]"", — заявил израильский премьер. Он подчеркнул, что не собирается выполнять требование ХАМАС, а именно, прекратить войну без достижения всех целей, которые Иерусалим поставил перед началом проведения операции, включающая ликвидацию палестинского движения. Кроме того, Нетаньяху добавил, что на данный момент Армия обороны (ЦАХАЛ) действует на семи фронтах: против ХАМАС, ""Хезболлы"", хуситов, боевиков в Ираке и Сирии, Ирана, а также террористов на западном берегу реки Иордан и Международного уголовного суда (МУС).",израиль добиваться полный победа радикальный палестинский движение хамас собираться прекращать боевой действие пока вернуть заложник которые боевик удерживать сектор газа такой заявление сделать премьер - министр еврейский государство биньямин нетаньяху слово которого передавать канцелярия мы стремиться полный победа мы хотеть мочь покинуть поле бой мы обязанный вернуть похитить радикал заявить израильский премьер он подчеркнуть собираться выполнять требование хамас именно прекратить война достижение цель которые иерусалим поставить начало проведение операция включать ликвидация палестинский движение кроме нетаньяху добавить данный момент армия оборона цахал действовать семь фронт против хамас хезболлы хуситов боевик ирак сирия иран также террорист западный берег река иордан международный уголовный суд мус,"[('израиль', 'LOC'), ('хамас', 'ORG'), ('еврейский государство биньямин', 'ORG'), ('хамас', 'ORG'), ('иерусалим', 'LOC'), ('хамас', 'ORG'), ('хезболлы хуситов', 'PER'), ('ирак', 'LOC'), ('сирия', 'LOC'), ('иран', 'LOC'), ('западный берег', 'LOC'), ('международный уголовный суд', 'ORG'), ('мус', 'ORG')]"
8,https://www.mk.ru/politics/2024/06/09/bayden-vnov-oshibsya-v-formulirovkakh-v-otnoshenii-ukrainy.html,Байден вновь ошибся в формулировках в отношении Украины,"Президент Соединенных Штатов Джо Байден в очередной раз допустил оговорку в отношении Украины, заявив, что Ираку пришлось очень долго ждать помощи от Вашингтона. Ошибку он допустил во время общения с журналистами в ходе визита во Францию. ""Идея, о которой некоторые говорят, что мы стали сейчас полуизоляционистами. Я имею в виду, идея, что нам пришлось ждать все эти месяцы просто, чтобы получить деньги для Ирака, что мы, потому что мы ждали"", — заявил глава американского государства. При этом в стенограмме Белого дома Ирак все же указан, однако в скобка дописана Украина. Напомним, что крупная помощь США Украине в размере 61 млрд долларов проходила несколько этапов одобрения на протяжении примерно полугода. В новый пакет вошли различные виды вооружения и военной техники.",президент соединить штат джо байден очередной допустить оговорка отношение украина заявить ирак прийтись очень долго ждать помощь вашингтон ошибка допустить время общение журналист ход визит франция идея которой некоторый говорить стать полуизоляционистами я иметь вид идея нам прийтись ждать месяц просто получить деньга ирак ждать заявить глава американский государство При стенограмма белый дом ирак указать однако скобка дописать украина напомним крупный помощь сша украина размер 61 млрд доллар проходить несколько этап одобрение протяжение примерно полугода в новый пакет войти различный вид вооружение военный техника,"[('джо', 'LOC'), ('украина', 'LOC'), ('ирак', 'LOC'), ('вашингтон', 'LOC'), ('франция', 'LOC'), ('ирак', 'LOC'), ('белый дом', 'LOC'), ('ирак', 'LOC'), ('украина', 'LOC'), ('сша', 'LOC'), ('украина', 'LOC')]"
9,https://www.mk.ru/politics/2024/06/09/shveycarskiy-polkovnik-nazval-cel-kotoroy-rossiya-dostigla-na-svo.html,"Швейцарский полковник назвал цель, которой Россия достигла на СВО","Действия российской армии привели к первым успехам в ходе спецоперации на Украине — сдерживание. Такое заявление сделал полковник Генерального штаба Швейцарии в отставке Жак Бод в интервью YouTube-каналу Dialogue Works. ""Россия, на мой взгляд, достигла цели этим украинским конфликтом, это своего рода сдерживание"", — заявил отставной швейцарский офицер. Он считает, что СВО на Украине показала, что спустя более чем два года, у Киева и его западных союзников не осталось боеприпасов и снарядов для средств противовоздушной обороны. По словам Бода, теперь все, что производит Запад, ВС РФ могут уничтожить. Отставной полковник считает, что на Западе уже поняли, что Украина проиграла.",действие российский армия привести первый успех ход спецоперация украина сдерживание такой заявление сделать полковник генеральный штаб швейцария отставка жак бод интервью youtube - каналу dialogue works россия взгляд достигнуть цель этот украинским конфликт это свой род сдерживание заявить отставной швейцарский офицер он считать сво украина показать спустя год киев западный союзник остаться боеприпас снаряд средство противовоздушный оборона по слово бод производить запад вс рф мочь уничтожить отставной полковник считать западе понять украина проиграть,"[('украина', 'LOC'), ('швейцария', 'LOC'), ('youtube - каналу', 'ORG'), ('dialogue works', 'ORG'), ('россия', 'LOC'), ('сво', 'ORG'), ('украина', 'LOC'), ('киев', 'LOC'), ('запад', 'LOC'), ('вс', 'ORG'), ('рф', 'LOC'), ('украина', 'LOC')]"
10,https://www.mk.ru/politics/2024/06/09/finlyandiya-otpravila-ukraine-ocherednuyu-voennuyu-pomoshh.html,Финляндия отправила Украине очередную военную помощь,"Финляндия передала Украине некоторые из новейших образцов вооружения. Об этом сообщил представитель Сил обороны страны Хейсканен, пишет издание Yle. Он подчеркнул, что переданное оборудование настолько новая, что по-прежнему находится на стадии разработки. Стоит отметить, что 8 июня президент Владимир Зеленский заявил о том, что Киев получит дополнительные системы ПВО, некоторые из которых ""сработают более оперативно"", а другая часть поставок будет отправлена ближе к осени. Президент Финляндии Александер Сутбб неоднократно высказывал поддержку Киеву, однако подчеркнул, что Хельсинки не собирается отправлять своих военнослужащих на территорию Украины.",финляндия передать украина некоторый новейших образец вооружение об сообщить представитель сила оборона страна хейсканен писать издание yle он подчеркнуть передать оборудование настолько новый по - прежний находиться стадия разработка стоить отметить 8 июнь президент владимир зеленский заявить киев получить дополнительный система пво некоторый которых сработают оперативно другая часть поставка отправить близкий осень президент финляндия александер сутбб неоднократно высказывать поддержка киев однако подчеркнуть хельсинки собираться отправлять свой военнослужащий территория украина,"[('финляндия', 'LOC'), ('украина', 'LOC'), ('yle', 'ORG'), ('владимир зеленский', 'PER'), ('киев', 'LOC'), ('финляндия', 'LOC'), ('александер сутбб', 'PER'), ('киев', 'LOC'), ('хельсинки', 'LOC'), ('украина', 'LOC')]"
11,https://www.mk.ru/social/2024/06/09/skoro-myaso-a-to-tornado-idet-rossiyane-ne-brosili-shashlyk-pered-nadvigayushhimsya-smerchem.html,"""Скоро мясо? А то торнадо идет"": россияне не бросили шашлык перед надвигающимся смерчем","В соцсетях распространилась видеозапись, сделанная группой отдыхающих на берегу Лемболовского озера в Ленобласти во время образования водного смерча. На кадры попала компания молодых людей, решивших развести мангал и пожарить мясо, которое они не хотели бросать даже перед надвигавшейся на них стихией. ""Лех, там че с мясом? Скоро мясо будет? Там просто торнадо идет уже..."" - спрашивает автор видео своего друга, склонившегося над углями. ""Ща, почти, чуть-чуть"", - отвечает кулинар. ""Лех, там чуть-чуть до торнадо недалеко"", - подгоняет приятеля автор ролика. Повар предложил договориться со смерчем: ""А мы поделимся с ним"". Данных о каких-либо последствиях прохождения смерча в этом районе не поступало. Как пишет ""Фонтанка"", смерчи считаются не совсем уж редким явлением для этих мест. Главный синоптик Санкт-Петербурга Александр Колесов, в свою очередь, отмечал, что образовавшиеся над водой смерчи считаются не очень опасными - бдительность следует соблюдать при появлении смерча над сушей. ",в соцсетях распространиться видеозапись сделать группа отдыхать берег лемболовского озеро ленобласть время образование водный смерч на кадр попасть компания молодой человек решить развести мангал пожарить мясо которое хотеть бросать надвигавшейся стихия лех че мясо Скоро мясо там просто торнадо идти спрашивать автор видео свой друг склониться углями ща чуть - чуть отвечать кулинар лех чуть - чуть торнадо недалеко подгонять приятель автор ролик повар предложить договориться смерч а поделиться данных какой - либо последствие прохождение смерч район поступать как писать фонтанка смерчи считаться редкий явление этот место главный синоптик санкт - петербург александр колесов очередь отмечать образоваться вода смерчи считаться очень опасный бдительность следовать соблюдать появление смерч сушей,"[('лемболовского озеро', 'LOC'), ('Скоро', 'PER'), ('санкт - петербург', 'LOC'), ('александр колесов', 'PER')]"
12,https://www.mk.ru/sport/2024/06/09/stalo-izvestno-imya-pobeditelya-rolan-garros.html,"Стало известно имя победителя ""Ролан Гаррос""","Теннисист из Испании Карлос Алькарас обыграл представителя ФРГ Александра Зверева в финале Открытого чемпионата Франции. Финальная встреча ""Ролан Гаррос"" закончилась со счетом 6:3, 2:6, 5:7, 6:1, 6:2 в пользу Алькараса. Продолжительность матча главного турнира на грунтовых кортах составила 4 часа 19 минут. Примечательно, что счет личных встреч сравнялся - 5-5. Алькарасу 21 год и для него этот третья победа на турнирах Большого шлема – в активе также Открытый чемпионат США - 2022 и Уимблдон-2023. Читайте также: Зверев прокомментировал дело об избиении бывшей девушки И еще: Кафельников предсказал большой успех российским теннисистам в Париже",теннисист испания карлос алькарас обыграть представитель фрг александр зверев финал открытый чемпионат франция финальный встреча ролан гаррос закончиться счёт 6:3 2:6 5:7 6:1 6:2 польза алькараса продолжительность матч главный турнир грунтовый корт составить 4 час 19 минута примечательный счёт личный встреча сравняться 5 - 5 алькарасу 21 год третий победа турнир большой шлем активе также открытый чемпионат сша 2022 уимблдон-2023 читайте также зверев прокомментировать дело избиение бывший девушка и кафельников предсказать большой успех российский теннисист париж,"[('испания', 'LOC'), ('карлос алькарас', 'PER'), ('фрг', 'LOC'), ('александр зверев', 'PER'), ('франция', 'LOC'), ('сша', 'LOC'), ('париж', 'LOC')]"
13,https://www.mk.ru/politics/2024/06/09/amerikanskiy-ekspert-rasskazal-chto-proiskhodit-s-novobrancami-vsu-v-zone-boevykh-deystviy.html,"Американский эксперт рассказал, что происходит с новобранцами ВСУ в зоне боевых действий","Новобранцы украинкой армии из-за плохой подготовки очень часто сдаются в плен или погибают. Такое заявление сделал экс-агент ЦРУ Ларри Джонсон в эфире YouTube-канала Dialogue Works. Он подчеркнул, что подготовка новичков на фронте проходит в течение всего лишь 15 дней. ""Им повезет, если они продержатся два дня на линии фронта. Во многих случаях их убивают, некоторые сдаются в плен и переходят на сторону России"", — заявил американский эксперт. В качестве примера экс-агент ЦРУ привел в пример неудачное контрнаступление ВСУ, которое ВС РФ удачно отразили. По его словам, западным странам необходимо осознать, что их программы подготовки неадекватны.",новобранец украинкой армия из - за плохой подготовка очень часто сдаваться плен погибать такой заявление сделать экс - агент цру ларри джонсон эфир youtube - канала dialogue works он подчеркнуть подготовка новичок фронте проходить течение лишь 15 день им повезти продержатся день линия фронт в многих случай убивать некоторый сдаваться плен переходить сторона россия заявить американский эксперт в качество пример экс - агент цру привести пример неудачный контрнаступление всу которое вс рф удачно отразить по слово западный страна необходимый осознать программа подготовка неадекватный,"[('цру', 'ORG'), ('ларри джонсон', 'PER'), ('youtube - канала', 'ORG'), ('dialogue works', 'ORG'), ('россия', 'LOC'), ('цру', 'ORG'), ('всу', 'ORG'), ('вс', 'ORG'), ('рф', 'LOC')]"
